symbol,symboltoken,pdh,pdl,dir,open,perc,is_gap,min,max,o_qty,ltp
TATAMOTORS-EQ,3456.0,590.0,575.5,-1,588.35,-0.0218,False,575.5,590.0,169,590.7
CAMS-EQ,342.0,2166.95,2140.05,-1,2188.0,-0.0219,False,2140.05,2188.0,45,2184.8
VMART-EQ,29284.0,2160.05,2112.05,-1,2159.8,-0.0221,False,2112.05,2160.05,46,2158.05
FINPIPE-EQ,1041.0,176.95,172.0,1,173.0,-0.0223,False,172.0,176.95,578,174.0
PRAJIND-EQ,2705.0,381.6,372.45,-1,381.0,-0.0224,False,372.45,381.6,262,382.05
NAVINFLUOR-EQ,14672.0,4498.05,4403.75,-1,4505.0,-0.0225,False,4403.75,4505.0,22,4496.95
ASHOKLEY-EQ,212.0,166.85,163.0,-1,166.8,-0.0228,False,163.0,166.85,599,167.3
AIAENG-EQ,13086.0,3330.55,3240.0,1,3251.2,-0.0238,False,3240.0,3330.55,30,3242.15
MHRIL-EQ,17333.0,301.4,293.0,-1,300.15,-0.0238,False,293.0,301.4,333,300.95
FLUOROCHEM-EQ,13750.0,3030.0,2942.0,1,2958.0,-0.0238,False,2942.0,3030.0,33,2941.1
CHEMPLASTS-EQ,5449.0,452.3,440.1,1,441.5,-0.0239,False,440.1,452.3,226,445.0
NLCINDIA-EQ,8585.0,102.5,100.4,-1,103.0,-0.0252,False,100.4,103.0,970,103.9
HDFCBANK-EQ,1333.0,1679.9,1660.5,-1,1704.0,-0.0255,False,1660.5,1704.0,58,1691.65
POLYMED-EQ,25718.0,1158.3,1133.15,-1,1164.0,-0.0265,False,1133.15,1164.0,85,1155.05
ONGC-EQ,2475.0,160.15,156.55,-1,161.0,-0.0276,False,156.55,161.0,621,159.55
CERA-EQ,15039.0,7789.6,7573.8,-1,7790.0,-0.0278,False,7573.8,7790.0,12,7844.5
BANKBARODA-EQ,4668.0,191.95,189.2,1,186.6,-0.0279,False,186.6,191.95,535,186.5
STARHEALTH-EQ,7083.0,574.0,559.45,-1,576.0,-0.0287,False,559.45,576.0,173,579.6
FINEORG-EQ,3744.0,4950.0,4832.0,-1,4975.0,-0.0287,False,4832.0,4975.0,20,4951.05
CCL-EQ,11452.0,666.95,648.7,-1,669.0,-0.0303,False,648.7,669.0,149,664.4
NYKAA-EQ,6545.0,149.75,147.0,1,145.0,-0.0317,False,145.0,149.75,689,147.05
CARBORUNIV-EQ,595.0,1193.0,1160.55,-1,1199.0,-0.0321,False,1160.55,1199.0,83,1199.9
ATGL-EQ,6066.0,658.9,643.0,-1,664.6,-0.0325,False,643.0,664.6,150,666.2
POWERGRID-EQ,14977.0,252.5,246.45,-1,256.5,-0.0392,False,246.45,256.5,389,255.1
